"Total.Cup.Points","altitude_mean_meters_adj","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
77.67,775,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.92,900,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
77.17,795,0,0,0,0,"Other",0,0,0,1,9.57066666666667
83,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.83,1260,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.5,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
80.92,688,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
83.58,1100,0,0,0,1,"Other",0,0,0,1,9.831
79.58,1550,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
83.67,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.5,1170,0,0,0,0,"Bourbon",1,0,0,1,9.50733333333333
81.67,534.19248,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83.58,1000,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
83.5,1400,0,0,0,1,"Caturra",0,1,0,0,9.6065
79.75,1022,0,0,0,1,"Bourbon",1,0,0,1,9.6065
80.08,250,0,0,1,0,"Typica",0,0,1,1,9.57066666666667
80.17,750,0,0,0,0,"Other",0,0,0,0,9.6065
85.5,527.6892672,0,0,0,1,"Bourbon",1,0,0,0,9.6065
79,1350,0,0,0,1,"Other",0,0,0,0,9.57066666666667
79.33,750,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.92,1400,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.5,1775,0,0,0,1,"Caturra",0,1,0,0,9.831
81.83,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
80.67,1200,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
84.67,1775,0,0,0,1,"Other",0,0,0,0,9.50733333333333
83.5,1600,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.17,1000,0,0,0,0,"Other",0,0,0,0,9.50733333333333
81.92,1250,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
85.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
83.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
79.5,1550,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
83.58,1775,0,0,0,1,"Caturra",0,1,0,0,9.831
82.42,1250,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.25,900,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.92,1200,0,0,0,0,"Other",0,0,0,0,9.831
81,758,0,0,0,1,"Typica",0,0,1,1,9.831
81.75,774,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
81.33,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.67,1200,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
86.08,1250,0,0,1,0,"Bourbon",1,0,0,0,9.516
81.42,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
83.17,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.6065
78.92,1300,0,0,0,1,"Typica",0,0,1,1,9.6065
83.42,1813,0,0,0,1,"Caturra",0,1,0,0,9.831
75.17,1280,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.58,1400,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.25,680,0,0,0,0,"Typica",0,0,1,1,9.831
79.67,975,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
83.75,700,0,0,0,0,"Caturra",0,1,0,1,9.50733333333333
84.25,1775,0,0,0,1,"Caturra",0,1,0,0,9.831
80.92,1700,0,0,0,1,"Other",0,0,0,0,9.57066666666667
80.92,1186,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.42,1150,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
81.75,1750,0,0,0,1,"Caturra",0,1,0,0,9.516
84.75,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
