"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
80.92,550,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82,940,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.33,1300,3,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.17,532,11,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.83,1350,4,0,0,0,0,0,0,1,0,0,0,9.57066666666667
85.08,2560,0,0,0,0,0,0,0,1,0,0,0,9.831
77.17,1200,12,0,0,0,1,0,0,0,0,0,1,9.50733333333333
81.08,520.257024,0,0,0,0,0,0,0,0,0,0,1,9.57066666666667
74.92,1500,6,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.58,1775,3,0,0,0,1,0,0,1,0,0,0,9.831
87.17,1300,2,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79.75,1000,0,0,0,0,0,0,0,0,1,0,1,9.57066666666667
80,1100,12,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.17,800,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.25,1500,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
83,1750,0,0,0,0,1,0,0,1,0,0,0,9.6065
79.33,950,23,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.75,1750,1,0,0,0,1,0,0,1,0,0,0,9.6065
81.92,1650,4,0,0,0,1,0,0,0,0,0,1,9.50733333333333
81.42,1422,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.83,905,2,0,1,0,0,0,0,0,0,1,0,9.831
82.75,1775,2,0,0,0,1,0,0,1,0,0,0,9.57066666666667
80.67,185,4,0,0,0,1,0,0,1,0,0,0,9.831
85.42,1950,5,0,0,0,1,0,0,0,0,0,0,9.6065
80.08,1300,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.17,1000,1,0,0,0,0,0,0,0,0,0,0,9.50733333333333
83.67,800,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.92,1059,3,0,0,0,0,0,0,0,1,0,1,9.831
82.83,1040,11,1,0,0,0,0,0,0,0,0,0,9.57066666666667
83.75,1300,1,0,0,0,1,0,0,1,0,0,0,9.50733333333333
87.25,1850,8,0,0,0,0,0,0,0,0,0,0,9.57066666666667
80.25,1400,13,0,0,0,1,0,0,1,0,0,0,9.50733333333333
82.17,1500,2,0,0,0,1,0,0,1,0,0,0,9.831
75.5,1100,24,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.33,399.483072,7,0,0,0,1,1,0,0,0,0,0,9.50733333333333
79.75,1300,5,0,0,0,1,1,0,0,0,0,1,9.6065
83.25,1750,1,0,0,0,1,0,0,1,0,0,0,9.6065
82.33,1580,2,0,1,0,0,0,0,0,0,0,1,9.831
81,758,0,0,0,0,1,0,0,0,1,0,1,9.831
82.67,1300,0,0,0,0,1,0,0,0,0,0,0,9.831
84.25,1450,1,0,0,1,0,0,0,0,1,0,1,9.50733333333333
81.5,1150,2,0,0,0,1,0,0,0,1,0,1,9.6065
82.75,1100,0,0,0,0,0,0,0,0,0,0,1,9.831
82.17,1500,4,0,0,0,1,1,0,0,0,0,0,9.57066666666667
83.92,950,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
80.67,1200,4,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.67,399.483072,4,0,0,0,1,1,0,0,0,0,0,9.6065
80.17,1400,0,0,0,0,1,0,1,0,0,0,0,9.831
83.92,900,42,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.75,1750,1,0,0,0,1,0,0,1,0,0,0,9.516
83.42,1450,2,0,0,0,1,0,0,1,0,0,0,9.50733333333333
82.92,1040,17,0,0,0,0,0,0,0,0,0,0,9.50733333333333
79.17,1550,8,0,0,0,1,0,0,0,1,0,1,9.50733333333333
79.5,1550,21,0,0,0,1,0,0,1,0,0,1,9.50733333333333
84.33,442,6,0,0,0,0,0,0,1,0,0,0,9.831
81,1100,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
81,950,12,0,0,0,1,0,0,0,0,0,1,9.50733333333333
81.75,1550,24,0,0,0,1,0,0,1,0,0,1,9.50733333333333
80.42,600,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.17,399.483072,2,0,0,0,1,1,0,0,0,0,0,9.6065
86,1200,2,0,0,0,1,0,0,1,0,0,0,9.6065
83.08,905,2,0,1,0,0,0,0,0,0,1,0,9.831
82.33,1170,9,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83.5,1500,8,0,0,1,0,0,0,0,0,0,0,9.831
82.83,1600,1,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.5,1250,10,0,0,1,0,0,0,0,0,1,0,9.6065
84,520.257024,7,0,0,0,1,0,0,1,0,0,0,9.831
83.42,371.61216,1,0,0,0,0,1,0,0,0,0,0,9.6065
80.92,900,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
79.75,1400,4,0,0,0,1,0,0,0,1,0,1,9.6065
84,1775,3,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.17,1750,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84.17,399.483072,4,0,0,0,1,1,0,0,0,0,0,9.6065
81.25,1700,2,0,0,0,1,0,0,0,0,0,0,9.57066666666667
77.42,399.483072,17,0,0,0,1,1,0,0,0,0,0,9.6065
80,800,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
79.67,1264,9,0,0,0,1,0,0,0,0,0,1,9.50733333333333
81.58,1600,0,0,0,0,0,0,0,0,0,0,1,9.50733333333333
83.67,1100,15,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.75,1200,2,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.83,700,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.08,1300,0,1,0,0,0,0,0,0,1,0,1,9.57066666666667
78.75,1250,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
81.33,1450,3,0,0,0,1,0,1,0,0,0,0,9.57066666666667
80.75,1450,2,0,0,0,0,0,0,1,0,0,0,9.831
84.25,1600,2,0,0,0,1,0,0,0,0,0,0,9.57066666666667
