"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
82.42,1296,"Mexico","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
82.42,1170,"Mexico","2013","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.6065
82.42,1400,"Mexico","2012","Typica","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Typica",0,0,0,1,0,1,9.50733333333333
82.42,1300,"Mexico","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82.33,464.5152,"Guatemala","2014","Pacas","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
82.33,441,"Mexico","2012","Typica","Natural / Dry",9,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.50733333333333
82.33,950,"Brazil","2012","Mundo Novo","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
82.25,1180,"Malawi","2014","Gesha","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
82.25,1100,"Brazil","2015","Bourbon","Natural / Dry",0,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,9.831
82.25,1338,"Mexico","2013","Mundo Novo","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,1,9.6065
82.25,900,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82.25,1750,"Colombia","2012","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.25,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.17,800,"Thailand","2014","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
82.17,1750,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
82.17,1144,"Mexico","2012","Typica","Washed / Wet",10,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82.17,1350,"Guatemala","2012","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.17,1200,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82.08,1600,"Tanzania, United Republic Of","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
82.08,1250,"Mexico","2012","Typica","Washed / Wet",11,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82,1650,"Tanzania, United Republic Of","2015","Other","Washed / Wet",20,0,0,0,0,1,"Other",0,0,0,0,0,0,9.831
82,1250,"Laos","2015","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.831
82,2500,"Malawi","2014","Gesha","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
82,800,"Thailand","2013","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
82,1900,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
82,650,"Taiwan","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82,1050,"Brazil","2012","Catuai","Semi-washed / Semi-pulped",1,0,0,0,1,0,"Catuai",0,1,0,0,0,0,9.50733333333333
82,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",10,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
81.92,1250,"El Salvador","2014","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.57066666666667
81.92,1000,"Taiwan","2012","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,9.50733333333333
81.92,981,"Mexico","2012","Typica","Semi-washed / Semi-pulped",9,0,0,0,1,0,"Typica",0,0,0,1,0,1,9.50733333333333
81.92,1100,"Brazil","2012","Mundo Novo","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0,9.50733333333333
81.83,1425,"Mexico","2015","Catuai","Washed / Wet",7,0,0,0,0,1,"Catuai",0,1,0,0,0,1,9.831
81.83,1250,"Brazil","2012","Bourbon","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,9.50733333333333
81.83,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
81.75,1250,"Mexico","2012","Mundo Novo","Washed / Wet",23,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
81.67,1500,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
81.67,1700,"Tanzania, United Republic Of","2013","Other","Washed / Wet",7,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
81.67,1850,"Costa Rica","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
81.67,150,"Taiwan","2014","Typica","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Typica",0,0,0,1,0,1,9.57066666666667
81.67,1400,"Mexico","2012","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.50733333333333
81.58,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
81.58,1650,"Mexico","2012","Typica","Natural / Dry",2,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.50733333333333
81.5,371.61216,"Myanmar","2015","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.831
81.5,900,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
81.5,825,"Haiti","2013","Blue Mountain","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
