"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
81.83,1550,"Mexico","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
81.83,1250,"Brazil","2012","Bourbon","Semi-washed / Semi-pulped",0,0,1,0,"Bourbon",1,0,0,0,9.50733333333333
81.75,1040,"Vietnam","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.75,1100,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.75,1550,"Mexico","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
81.75,1650,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.67,1500,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.67,1260,"Brazil","2015","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.831
81.67,1850,"Costa Rica","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
81.58,1100,"Malawi","2014","Gesha","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.58,1260,"Brazil","2014","Yellow Bourbon","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.58,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
81.58,1650,"Mexico","2012","Typica","Natural / Dry",0,0,0,0,"Typica",0,0,1,1,9.50733333333333
81.5,180,"Taiwan","2015","Typica","Natural / Dry",0,0,0,0,"Typica",0,0,1,1,9.831
81.5,1599,"Malawi","2014","Gesha","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.42,763,"Mexico","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
81.33,1200,"Brazil","2015","Yellow Bourbon","Other",1,0,0,0,"Other",0,0,0,0,9.831
81.33,1200,"Malawi","2014","Gesha","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.33,1800,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.25,1100,"Nicaragua","2015","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
81.25,650,"Taiwan","2014","Typica","Semi-washed / Semi-pulped",0,0,1,0,"Typica",0,0,1,1,9.57066666666667
81.17,1450,"Thailand","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.17,1800,"Mexico","2012","Typica","Natural / Dry",0,0,0,0,"Typica",0,0,1,1,9.50733333333333
81.17,1450,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
81.08,520.257024,"United States","2014","Pache Comun","Natural / Dry",0,0,0,0,"Other",0,0,0,1,9.57066666666667
81.08,1500,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81,371.61216,"Guatemala","2015","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.831
81,1525,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
81,1700,"Uganda","2013","SL14","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.6065
81,950,"Mexico","2012","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
80.92,1100,"Brazil","2015","Bourbon","Natural / Dry",0,0,0,0,"Bourbon",1,0,0,0,9.831
80.92,1050,"Nicaragua","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
80.92,464.5152,"Guatemala","2014","Pacas","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
80.92,300,"Taiwan","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80.75,1450,"Honduras","2015","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.831
80.75,1680,"Panama","2014","Caturra","Other",1,0,0,0,"Caturra",0,1,0,0,9.57066666666667
80.75,1450,"Honduras","2015","Catuai","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.831
80.67,185,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
80.5,371.61216,"Guatemala","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
80.42,600,"Taiwan","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80.33,940,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,1,0,"Typica",0,0,1,1,9.50733333333333
80.17,1250,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.17,1550,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.08,200,"Taiwan","2014","Typica","Other",1,0,0,0,"Typica",0,0,1,1,9.57066666666667
80.08,150,"Taiwan","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80,1400,"Mexico","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80,250,"Taiwan","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80,1250,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80,1100,"Mexico","2012","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
79.92,1100,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
79.75,1000,"Taiwan","2014","Typica","Natural / Dry",0,0,0,0,"Typica",0,0,1,1,9.57066666666667
79.75,1100,"Costa Rica","2013","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
79.67,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
79.67,1400,"Mexico","2013","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.6065
79.5,1550,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
79.42,371.61216,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
79.33,1200,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
79.17,1550,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
79.08,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
79.08,1500,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
79.08,1100,"Mexico","2012","Mundo Novo","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
78.75,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
78.75,1250,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,1,0,"Typica",0,0,1,1,9.50733333333333
