"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
69.17,1450,4,0,0,0,0,1,0,1,0,0,0,0,9.57066666666667
82,650,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.33,442,0,0,0,0,0,0,0,0,1,0,0,0,9.50733333333333
78.58,800,0,0,0,0,0,1,0,0,0,1,0,1,9.6065
72.92,1200,2,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84.67,1550,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
85,1580,5,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
82.42,1170,0,0,0,0,0,1,1,0,0,0,0,1,9.6065
81,371.61216,1,0,0,0,0,1,1,0,0,0,0,0,9.831
83.5,1650,2,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79.67,1400,6,0,0,0,0,1,0,0,0,1,0,1,9.6065
82.83,1200,9,0,1,0,0,0,0,0,0,0,0,1,9.57066666666667
84.25,1400,1,0,0,0,0,0,0,0,0,0,0,1,9.831
85.5,527.6892672,1,0,0,0,0,1,1,0,0,0,0,0,9.6065
77.83,399.483072,2,0,0,0,0,1,1,0,0,0,0,0,9.6065
79.75,1300,5,0,0,0,0,1,1,0,0,0,0,1,9.6065
80.67,995,1,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
84.75,1800,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.17,1200,4,0,0,0,0,0,0,0,0,1,0,0,9.57066666666667
83,1000,2,0,0,0,0,0,0,0,1,0,0,0,9.6065
84.58,371.61216,0,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
81.83,3280,8,0,0,0,0,1,1,0,0,0,0,0,9.831
79,1550,20,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
82.33,1580,2,6,0,1,0,0,0,0,0,0,0,1,9.831
84.92,800,0,0,0,0,1,0,0,0,0,1,0,1,9.831
80.08,850,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84.5,1100,2,0,0,0,0,1,0,0,0,0,0,1,9.6065
75.17,1200,20,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
79.75,1450,0,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
71,1800,0,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.33,1300,3,0,0,0,0,1,0,0,0,1,0,1,9.6065
81.58,1100,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.25,1100,4,0,0,0,0,1,0,1,0,0,0,0,9.831
81.33,1800,17,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.17,1450,5,0,0,0,0,0,0,1,0,0,0,0,9.6065
82.25,423.91657152,2,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
81.08,1650,21,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
74.67,1700,7,0,0,0,0,1,0,0,0,1,0,1,9.6065
81.5,371.61216,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
85.08,1700,9,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
80.92,1050,4,0,0,0,0,1,0,0,1,0,0,0,9.6065
82,1038.5,0,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
78.75,399.483072,9,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.92,1750,0,0,0,0,0,0,0,0,1,0,0,0,9.6065
84.92,1200,2,0,0,0,0,0,1,0,0,0,0,0,9.516
81.83,1350,4,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
76.17,1400,6,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
67.92,350,24,0,0,0,0,0,0,0,0,1,0,0,9.50733333333333
84,1260,0,0,0,0,0,0,0,0,0,0,1,0,9.57066666666667
75.5,1100,24,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.67,1800,3,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
79.08,1500,2,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
87.25,1850,8,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
84.17,1750,2,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.42,1100,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.08,1642,5,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.5,1400,14,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.58,1300,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.17,800,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.42,1100,0,0,0,0,0,0,1,0,0,0,0,0,9.831
81.33,1200,1,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.25,808,10,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
84.33,442,6,0,0,0,0,0,0,0,1,0,0,0,9.831
81.08,1100,1,0,0,0,0,1,0,0,0,0,0,0,9.831
84.17,250.5,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
84,1550,44,0,0,0,0,0,0,0,0,0,0,0,9.6065
84.17,1530,4,0,0,0,0,1,0,0,0,0,0,0,9.831
80.42,1550,20,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
83.17,250.5,1,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.5,1100,5,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.25,1000,0,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
82.42,1400,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.08,250,0,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
81.08,1300,2,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
